Country,State,County,Location,Population
US,U.S. Minor Outlying Islands,Howland Island,US:U.S. Minor Outlying Islands:Howland Island,0
US,Minnesota,Hubbard,US:Minnesota:Hubbard,20658
US,New Jersey,Hudson,US:New Jersey:Hudson,660282
US,Texas,Hudspeth,US:Texas:Hudspeth,3318
US,Colorado,Huerfano,US:Colorado:Huerfano,6519
US,Oklahoma,Hughes,US:Oklahoma:Hughes,13823
US,South Dakota,Hughes,US:South Dakota:Hughes,17508
US,Puerto Rico,Humacao Municipality,US:Puerto Rico:Humacao Municipality,58466
US,California,Humboldt,US:California:Humboldt,134493
US,Iowa,Humboldt,US:Iowa:Humboldt,9688
US,Nevada,Humboldt,US:Nevada:Humboldt,17363
US,Mississippi,Humphreys,US:Mississippi:Humphreys,8922
US,Tennessee,Humphreys,US:Tennessee:Humphreys,18243
US,Texas,Hunt,US:Texas:Hunt,87048
US,New Jersey,Hunterdon,US:New Jersey:Hunterdon,126250
US,Pennsylvania,Huntingdon,US:Pennsylvania:Huntingdon,45694
US,Indiana,Huntington,US:Indiana:Huntington,36791
US,Michigan,Huron,US:Michigan:Huron,32224
US,Ohio,Huron,US:Ohio:Huron,58889
US,South Dakota,Hutchinson,US:South Dakota:Hutchinson,7145
US,Texas,Hutchinson,US:Texas:Hutchinson,21819
US,North Carolina,Hyde,US:North Carolina:Hyde,5721
US,South Dakota,Hyde,US:South Dakota:Hyde,1391
US,Louisiana,Iberia,US:Louisiana:Iberia,73878
US,Louisiana,Iberville,US:Louisiana:Iberville,33367
US,Iowa,Ida,US:Iowa:Ida,7141
US,Idaho,Idaho,US:Idaho:Idaho,16116
US,California,Imperial,US:California:Imperial,176584
US,Arkansas,Independence,US:Arkansas:Independence,36997
US,Florida,Indian River,US:Florida:Indian River,141994
US,Pennsylvania,Indiana,US:Pennsylvania:Indiana,87745
US,Michigan,Ingham,US:Michigan:Ingham,282234
US,California,Inyo,US:California:Inyo,18467
US,Michigan,Ionia,US:Michigan:Ionia,64073
US,Michigan,Iosco,US:Michigan:Iosco,25429
US,Iowa,Iowa,US:Iowa:Iowa,16330
US,Wisconsin,Iowa,US:Wisconsin:Iowa,23749
US,North Carolina,Iredell,US:North Carolina:Iredell,164517
US,Texas,Irion,US:Texas:Irion,1612
US,Michigan,Iron,US:Michigan:Iron,11516
US,Missouri,Iron,US:Missouri:Iron,10344
US,Utah,Iron,US:Utah:Iron,46780
US,Wisconsin,Iron,US:Wisconsin:Iron,5886
US,Illinois,Iroquois,US:Illinois:Iroquois,28982
US,Georgia,Irwin,US:Georgia:Irwin,9427
US,Puerto Rico,Isabela Municipality,US:Puerto Rico:Isabela Municipality,45631
US,Michigan,Isabella,US:Michigan:Isabella,70436
US,Minnesota,Isanti,US:Minnesota:Isanti,38204
US,Washington,Island,US:Washington:Island,78801
US,Virginia,Isle of Wight,US:Virginia:Isle of Wight,35656
US,Mississippi,Issaquena,US:Mississippi:Issaquena,1395
US,Minnesota,Itasca,US:Minnesota:Itasca,45564
US,Mississippi,Itawamba,US:Mississippi:Itawamba,23434
US,Arkansas,Izard,US:Arkansas:Izard,13368
US,Texas,Jack,US:Texas:Jack,8957
US,Alabama,Jackson,US:Alabama:Jackson,52951
US,Arkansas,Jackson,US:Arkansas:Jackson,17615
US,Colorado,Jackson,US:Colorado:Jackson,1365
US,Florida,Jackson,US:Florida:Jackson,48922
US,Georgia,Jackson,US:Georgia:Jackson,61044
US,Illinois,Jackson,US:Illinois:Jackson,59814
US,Indiana,Jackson,US:Indiana:Jackson,43466
US,Iowa,Jackson,US:Iowa:Jackson,19587
US,Kansas,Jackson,US:Kansas:Jackson,13366
US,Kentucky,Jackson,US:Kentucky:Jackson,13427
US,Louisiana,Jackson,US:Louisiana:Jackson,16112
US,Michigan,Jackson,US:Michigan:Jackson,160369
US,Minnesota,Jackson,US:Minnesota:Jackson,10260
US,Mississippi,Jackson,US:Mississippi:Jackson,140450
US,Missouri,Jackson,US:Missouri:Jackson,679996
US,North Carolina,Jackson,US:North Carolina:Jackson,40919
US,Ohio,Jackson,US:Ohio:Jackson,32783
US,Oklahoma,Jackson,US:Oklahoma:Jackson,26088
US,Oregon,Jackson,US:Oregon:Jackson,208545
US,South Dakota,Jackson,US:South Dakota:Jackson,3216
US,Tennessee,Jackson,US:Tennessee:Jackson,11517
US,Texas,Jackson,US:Texas:Jackson,14591
US,West Virginia,Jackson,US:West Virginia:Jackson,29178
US,Wisconsin,Jackson,US:Wisconsin:Jackson,20644
US,Virginia,James City,US:Virginia:James City,70516
US,U.S. Minor Outlying Islands,Jarvis Island,US:U.S. Minor Outlying Islands:Jarvis Island,0
US,Georgia,Jasper,US:Georgia:Jasper,13601
US,Illinois,Jasper,US:Illinois:Jasper,9592
US,Indiana,Jasper,US:Indiana:Jasper,33389
US,Iowa,Jasper,US:Iowa:Jasper,36641
US,Mississippi,Jasper,US:Mississippi:Jasper,16470
US,Missouri,Jasper,US:Missouri:Jasper,116398
US,South Carolina,Jasper,US:South Carolina:Jasper,26629
US,Texas,Jasper,US:Texas:Jasper,35649
US,Indiana,Jay,US:Indiana:Jay,21330
US,Puerto Rico,Jayuya Municipality,US:Puerto Rico:Jayuya Municipality,16642
US,Georgia,Jeff Davis,US:Georgia:Jeff Davis,15004
US,Texas,Jeff Davis,US:Texas:Jeff Davis,2253
US,Alabama,Jefferson,US:Alabama:Jefferson,659479
US,Arkansas,Jefferson,US:Arkansas:Jefferson,73191
US,Colorado,Jefferson,US:Colorado:Jefferson,551798
US,Florida,Jefferson,US:Florida:Jefferson,14194
US,Georgia,Jefferson,US:Georgia:Jefferson,16320
US,Idaho,Jefferson,US:Idaho:Jefferson,26914
US,Illinois,Jefferson,US:Illinois:Jefferson,38644
US,Indiana,Jefferson,US:Indiana:Jefferson,32458
US,Iowa,Jefferson,US:Iowa:Jefferson,16810
US,Kansas,Jefferson,US:Kansas:Jefferson,18813
US,Kentucky,Jefferson,US:Kentucky:Jefferson,756832
US,Louisiana,Jefferson,US:Louisiana:Jefferson,434767
US,Mississippi,Jefferson,US:Mississippi:Jefferson,7629
US,Missouri,Jefferson,US:Missouri:Jefferson,221396
US,Montana,Jefferson,US:Montana:Jefferson,11512
US,Nebraska,Jefferson,US:Nebraska:Jefferson,7560
US,New York,Jefferson,US:New York:Jefferson,119504
US,Ohio,Jefferson,US:Ohio:Jefferson,67964
US,Oklahoma,Jefferson,US:Oklahoma:Jefferson,6432
US,Oregon,Jefferson,US:Oregon:Jefferson,21145
US,Pennsylvania,Jefferson,US:Pennsylvania:Jefferson,44966
US,Tennessee,Jefferson,US:Tennessee:Jefferson,52123
US,Texas,Jefferson,US:Texas:Jefferson,252358
US,Washington,Jefferson,US:Washington:Jefferson,30076
US,West Virginia,Jefferson,US:West Virginia:Jefferson,55073
US,Wisconsin,Jefferson,US:Wisconsin:Jefferson,84509
US,Louisiana,Jefferson Davis,US:Louisiana:Jefferson Davis,31301
US,Mississippi,Jefferson Davis,US:Mississippi:Jefferson Davis,11948
US,Georgia,Jenkins,US:Georgia:Jenkins,9269
US,Indiana,Jennings,US:Indiana:Jennings,28241
US,South Dakota,Jerauld,US:South Dakota:Jerauld,2066
US,Idaho,Jerome,US:Idaho:Jerome,22514
US,Illinois,Jersey,US:Illinois:Jersey,22641
US,Kentucky,Jessamine,US:Kentucky:Jessamine,50173
US,Kansas,Jewell,US:Kansas:Jewell,3046
US,Texas,Jim Hogg,US:Texas:Jim Hogg,5245
US,Texas,Jim Wells,US:Texas:Jim Wells,41680
US,Illinois,Jo Daviess,US:Illinois:Jo Daviess,22407
US,Arkansas,Johnson,US:Arkansas:Johnson,25846
US,Georgia,Johnson,US:Georgia:Johnson,9767
US,Illinois,Johnson,US:Illinois:Johnson,12677
US,Indiana,Johnson,US:Indiana:Johnson,145535
US,Iowa,Johnson,US:Iowa:Johnson,139155
US,Kansas,Johnson,US:Kansas:Johnson,566933
US,Kentucky,Johnson,US:Kentucky:Johnson,23449
US,Missouri,Johnson,US:Missouri:Johnson,54572
US,Nebraska,Johnson,US:Nebraska:Johnson,5144
US,Tennessee,Johnson,US:Tennessee:Johnson,17977
US,Texas,Johnson,US:Texas:Johnson,154707
US,Wyoming,Johnson,US:Wyoming:Johnson,8628
US,North Carolina,Johnston,US:North Carolina:Johnston,177967
US,Oklahoma,Johnston,US:Oklahoma:Johnston,10990
US,U.S. Minor Outlying Islands,Johnston Atoll,US:U.S. Minor Outlying Islands:Johnston Atoll,0
US,Georgia,Jones,US:Georgia:Jones,28569
US,Iowa,Jones,US:Iowa:Jones,20611
US,Mississippi,Jones,US:Mississippi:Jones,68961
US,North Carolina,Jones,US:North Carolina:Jones,10215
US,South Dakota,Jones,US:South Dakota:Jones,1001
US,Texas,Jones,US:Texas:Jones,19859
US,Oregon,Josephine,US:Oregon:Josephine,83306
US,Utah,Juab,US:Utah:Juab,10348
US,Puerto Rico,Juana Díaz Municipality,US:Puerto Rico:Juana Díaz Municipality,79897
US,Montana,Judith Basin,US:Montana:Judith Basin,2016
US,Puerto Rico,Juncos Municipality,US:Puerto Rico:Juncos Municipality,40290
US,Alaska,Juneau,US:Alaska:Juneau,32660
US,Wisconsin,Juneau,US:Wisconsin:Juneau,26547
US,Pennsylvania,Juniata,US:Pennsylvania:Juniata,24768
US,Michigan,Kalamazoo,US:Michigan:Kalamazoo,256725
US,Hawaiʻi,Kalawao,US:Hawaiʻi:Kalawao,90
US,Michigan,Kalkaska,US:Michigan:Kalkaska,17196
US,Minnesota,Kanabec,US:Minnesota:Kanabec,15996
US,West Virginia,Kanawha,US:West Virginia:Kanawha,191275
US,Minnesota,Kandiyohi,US:Minnesota:Kandiyohi,42410
US,Illinois,Kane,US:Illinois:Kane,523643
US,Utah,Kane,US:Utah:Kane,7260
US,Illinois,Kankakee,US:Illinois:Kankakee,112120
US,Texas,Karnes,US:Texas:Karnes,15081
US,Hawaiʻi,Kauai,US:Hawaiʻi:Kauai,69512
US,Texas,Kaufman,US:Texas:Kaufman,108568
US,Oklahoma,Kay,US:Oklahoma:Kay,45633
US,Nebraska,Kearney,US:Nebraska:Kearney,6548
US,Kansas,Kearny,US:Kansas:Kearny,3923
US,Nebraska,Keith,US:Nebraska:Keith,8130
US,Mississippi,Kemper,US:Mississippi:Kemper,10294
US,Alaska,Kenai Peninsula,US:Alaska:Kenai Peninsula,57147
US,Illinois,Kendall,US:Illinois:Kendall,119348
US,Texas,Kendall,US:Texas:Kendall,37766
US,Texas,Kenedy,US:Texas:Kenedy,412
US,Maine,Kennebec,US:Maine:Kennebec,121164
US,Wisconsin,Kenosha,US:Wisconsin:Kenosha,167757
US,Delaware,Kent,US:Delaware:Kent,169416
US,Maryland,Kent,US:Maryland:Kent,19944
US,Michigan,Kent,US:Michigan:Kent,621700
US,Rhode Island,Kent,US:Rhode Island:Kent,165035
US,Texas,Kent,US:Texas:Kent,807
US,Kentucky,Kenton,US:Kentucky:Kenton,163145
US,Iowa,Keokuk,US:Iowa:Keokuk,10329
US,California,Kern,US:California:Kern,864124
US,Texas,Kerr,US:Texas:Kerr,49953
US,South Carolina,Kershaw,US:South Carolina:Kershaw,62516
US,Alaska,Ketchikan Gateway,US:Alaska:Ketchikan Gateway,13729
US,Wisconsin,Kewaunee,US:Wisconsin:Kewaunee,20505
US,Michigan,Keweenaw,US:Michigan:Keweenaw,2191
US,Nebraska,Keya Paha,US:Nebraska:Keya Paha,790
US,North Dakota,Kidder,US:North Dakota:Kidder,2428
US,Nebraska,Kimball,US:Nebraska:Kimball,3702
US,Texas,Kimble,US:Texas:Kimble,4481
US,Texas,King,US:Texas:King,285
US,Washington,King,US:Washington:King,2044449
US,Virginia,King and Queen,US:Virginia:King and Queen,7130
US,Virginia,King George,US:Virginia:King George,24926
US,Virginia,King William,US:Virginia:King William,16097
US,Oklahoma,Kingfisher,US:Oklahoma:Kingfisher,15276
US,Kansas,Kingman,US:Kansas:Kingman,7844
US,U.S. Minor Outlying Islands,Kingman Reef,US:U.S. Minor Outlying Islands:Kingman Reef,0
US,California,Kings,US:California:Kings,150960
US,New York,Kings,US:New York:Kings,2592149
US,South Dakota,Kingsbury,US:South Dakota:Kingsbury,5065
US,Texas,Kinney,US:Texas:Kinney,3586
US,Colorado,Kiowa,US:Colorado:Kiowa,1423
US,Kansas,Kiowa,US:Kansas:Kiowa,2523
US,Oklahoma,Kiowa,US:Oklahoma:Kiowa,9341
US,Colorado,Kit Carson,US:Colorado:Kit Carson,8037
US,Washington,Kitsap,US:Washington:Kitsap,253968
US,Washington,Kittitas,US:Washington:Kittitas,41765
US,Minnesota,Kittson,US:Minnesota:Kittson,4503
US,Oregon,Klamath,US:Oregon:Klamath,65910
US,Texas,Kleberg,US:Texas:Kleberg,32101
US,Washington,Klickitat,US:Washington:Klickitat,20866
US,Kentucky,Knott,US:Kentucky:Knott,15976
US,Illinois,Knox,US:Illinois:Knox,52078
US,Indiana,Knox,US:Indiana:Knox,37954
US,Kentucky,Knox,US:Kentucky:Knox,31790
US,Maine,Knox,US:Maine:Knox,39550
US,Missouri,Knox,US:Missouri:Knox,4067
US,Nebraska,Knox,US:Nebraska:Knox,8565
US,Ohio,Knox,US:Ohio:Knox,60810
US,Tennessee,Knox,US:Tennessee:Knox,444622
US,Texas,Knox,US:Texas:Knox,3767
US,Alaska,Kodiak Island,US:Alaska:Kodiak Island,14135
US,Minnesota,Koochiching,US:Minnesota:Koochiching,13206
US,Idaho,Kootenai,US:Idaho:Kootenai,144265
US,Indiana,Kosciusko,US:Indiana:Kosciusko,77963
US,Iowa,Kossuth,US:Iowa:Kossuth,15321
US,Alaska,Kusilvak,US:Alaska:Kusilvak,7977
US,Wisconsin,La Crosse,US:Wisconsin:La Crosse,116713
US,Arizona,La Paz,US:Arizona:La Paz,20324
US,Colorado,La Plata,US:Colorado:La Plata,53284
US,Texas,La Salle,US:Texas:La Salle,7369
US,Kansas,Labette,US:Kansas:Labette,20916
US,Minnesota,Lac qui Parle,US:Minnesota:Lac qui Parle,7027
US,Pennsylvania,Lackawanna,US:Pennsylvania:Lackawanna,213931
US,Missouri,Laclede,US:Missouri:Laclede,35667
US,Arkansas,Lafayette,US:Arkansas:Lafayette,7252
US,Florida,Lafayette,US:Florida:Lafayette,8848
US,Louisiana,Lafayette,US:Louisiana:Lafayette,230845
US,Mississippi,Lafayette,US:Mississippi:Lafayette,51318
US,Missouri,Lafayette,US:Missouri:Lafayette,32943
US,Wisconsin,Lafayette,US:Wisconsin:Lafayette,16766
US,Louisiana,Lafourche,US:Louisiana:Lafourche,97141
US,Indiana,LaGrange,US:Indiana:LaGrange,37996
US,Puerto Rico,Lajas Municipality,US:Puerto Rico:Lajas Municipality,25753
US,California,Lake,US:California:Lake,63860
US,Colorado,Lake,US:Colorado:Lake,7306
US,Florida,Lake,US:Florida:Lake,308034
US,Illinois,Lake,US:Illinois:Lake,703019
US,Indiana,Lake,US:Indiana:Lake,491456
US,Michigan,Lake,US:Michigan:Lake,11386
US,Minnesota,Lake,US:Minnesota:Lake,10777
US,Montana,Lake,US:Montana:Lake,29017
US,Ohio,Lake,US:Ohio:Lake,229857
US,Oregon,Lake,US:Oregon:Lake,7820
US,South Dakota,Lake,US:South Dakota:Lake,12055
US,Tennessee,Lake,US:Tennessee:Lake,7731
US,Alaska,Lake and Peninsula,US:Alaska:Lake and Peninsula,1648
US,Minnesota,Lake of the Woods,US:Minnesota:Lake of the Woods,3929
US,Alabama,Lamar,US:Alabama:Lamar,14236
US,Georgia,Lamar,US:Georgia:Lamar,17959
US,Mississippi,Lamar,US:Mississippi:Lamar,58801
US,Texas,Lamar,US:Texas:Lamar,49426
US,Texas,Lamb,US:Texas:Lamb,13775
US,Vermont,Lamoille,US:Vermont:Lamoille,25067
US,North Dakota,LaMoure,US:North Dakota:LaMoure,4166
US,Texas,Lampasas,US:Texas:Lampasas,20222
US,Nebraska,Lancaster,US:Nebraska:Lancaster,297036
US,Pennsylvania,Lancaster,US:Pennsylvania:Lancaster,529600
US,South Carolina,Lancaster,US:South Carolina:Lancaster,80458
US,Virginia,Lancaster,US:Virginia:Lancaster,11148
US,Nevada,Lander,US:Nevada:Lander,6032
US,Kansas,Lane,US:Kansas:Lane,1720
US,Oregon,Lane,US:Oregon:Lane,356212
US,Wisconsin,Langlade,US:Wisconsin:Langlade,19575
US,Georgia,Lanier,US:Georgia:Lanier,10408
US,Michigan,Lapeer,US:Michigan:Lapeer,88389
US,Indiana,LaPorte,US:Indiana:LaPorte,111281
US,Wyoming,Laramie,US:Wyoming:Laramie,95809
US,Puerto Rico,Lares Municipality,US:Puerto Rico:Lares Municipality,30753
US,Colorado,Larimer,US:Colorado:Larimer,315988
US,Kentucky,LaRue,US:Kentucky:LaRue,14064
US,Colorado,Las Animas,US:Colorado:Las Animas,14446
US,Puerto Rico,Las Marías Municipality,US:Puerto Rico:Las Marías Municipality,9881
US,Puerto Rico,Las Piedras Municipality,US:Puerto Rico:Las Piedras Municipality,38675
US,Illinois,LaSalle,US:Illinois:LaSalle,112183
US,Louisiana,LaSalle,US:Louisiana:LaSalle,14777
US,California,Lassen,US:California:Lassen,32163
US,Idaho,Latah,US:Idaho:Latah,38078
US,Oklahoma,Latimer,US:Oklahoma:Latimer,10775
US,Alabama,Lauderdale,US:Alabama:Lauderdale,92797
US,Mississippi,Lauderdale,US:Mississippi:Lauderdale,80254
US,Tennessee,Lauderdale,US:Tennessee:Lauderdale,27795
US,Kentucky,Laurel,US:Kentucky:Laurel,59563
US,Georgia,Laurens,US:Georgia:Laurens,47999
US,South Carolina,Laurens,US:South Carolina:Laurens,66229
US,Texas,Lavaca,US:Texas:Lavaca,19581
US,Alabama,Lawrence,US:Alabama:Lawrence,33587
US,Arkansas,Lawrence,US:Arkansas:Lawrence,17011
US,Illinois,Lawrence,US:Illinois:Lawrence,16558
US,Indiana,Lawrence,US:Indiana:Lawrence,45844
US,Kentucky,Lawrence,US:Kentucky:Lawrence,15856
US,Mississippi,Lawrence,US:Mississippi:Lawrence,12514
US,Missouri,Lawrence,US:Missouri:Lawrence,38185
US,Ohio,Lawrence,US:Ohio:Lawrence,61917
US,Pennsylvania,Lawrence,US:Pennsylvania:Lawrence,89333
US,South Dakota,Lawrence,US:South Dakota:Lawrence,24910
US,Tennessee,Lawrence,US:Tennessee:Lawrence,41990
US,Oklahoma,Le Flore,US:Oklahoma:Le Flore,49774
US,Minnesota,Le Sueur,US:Minnesota:Le Sueur,27810
US,New Mexico,Lea,US:New Mexico:Lea,68062
US,Mississippi,Leake,US:Mississippi:Leake,23389
US,Kansas,Leavenworth,US:Kansas:Leavenworth,78185
US,Pennsylvania,Lebanon,US:Pennsylvania:Lebanon,135486
US,Alabama,Lee,US:Alabama:Lee,150933
US,Arkansas,Lee,US:Arkansas:Lee,10015
US,Florida,Lee,US:Florida:Lee,661115
US,Georgia,Lee,US:Georgia:Lee,29071
US,Illinois,Lee,US:Illinois:Lee,34858
US,Iowa,Lee,US:Iowa:Lee,35682
US,Kentucky,Lee,US:Kentucky:Lee,7260
US,Mississippi,Lee,US:Mississippi:Lee,85340
US,North Carolina,Lee,US:North Carolina:Lee,60266
US,South Carolina,Lee,US:South Carolina:Lee,18347
US,Texas,Lee,US:Texas:Lee,16628
US,Virginia,Lee,US:Virginia:Lee,25185
US,Michigan,Leelanau,US:Michigan:Leelanau,21747
US,Mississippi,Leflore,US:Mississippi:Leflore,31607
US,Pennsylvania,Lehigh,US:Pennsylvania:Lehigh,355092
US,Idaho,Lemhi,US:Idaho:Lemhi,7712
US,Michigan,Lenawee,US:Michigan:Lenawee,99188
US,North Carolina,Lenoir,US:North Carolina:Lenoir,58914
US,Florida,Leon,US:Florida:Leon,281845
US,Texas,Leon,US:Texas:Leon,16742
US,Kentucky,Leslie,US:Kentucky:Leslie,11019
US,Kentucky,Letcher,US:Kentucky:Letcher,23619
US,Florida,Levy,US:Florida:Levy,39644
US,Idaho,Lewis,US:Idaho:Lewis,3902
US,Kentucky,Lewis,US:Kentucky:Lewis,13806
US,Missouri,Lewis,US:Missouri:Lewis,10152
US,New York,Lewis,US:New York:Lewis,27149
US,Tennessee,Lewis,US:Tennessee:Lewis,11961
US,Washington,Lewis,US:Washington:Lewis,75081
US,West Virginia,Lewis,US:West Virginia:Lewis,16452
US,Montana,Lewis and Clark,US:Montana:Lewis and Clark,65338
US,South Carolina,Lexington,US:South Carolina:Lexington,273752
US,Virginia,"Lexington, City of","US:Virginia:Lexington, City of",7170
US,Florida,Liberty,US:Florida:Liberty,8349
US,Georgia,Liberty,US:Georgia:Liberty,64135
US,Montana,Liberty,US:Montana:Liberty,2369
US,Texas,Liberty,US:Texas:Liberty,76907
US,Ohio,Licking,US:Ohio:Licking,168375
US,Alabama,Limestone,US:Alabama:Limestone,88845
US,Texas,Limestone,US:Texas:Limestone,23326
US,Arkansas,Lincoln,US:Arkansas:Lincoln,14031
US,Colorado,Lincoln,US:Colorado:Lincoln,5430
US,Georgia,Lincoln,US:Georgia:Lincoln,7751
US,Idaho,Lincoln,US:Idaho:Lincoln,5315
US,Kansas,Lincoln,US:Kansas:Lincoln,3147
US,Kentucky,Lincoln,US:Kentucky:Lincoln,24370
US,Louisiana,Lincoln,US:Louisiana:Lincoln,47414
US,Maine,Lincoln,US:Maine:Lincoln,34088
US,Minnesota,Lincoln,US:Minnesota:Lincoln,5830
US,Mississippi,Lincoln,US:Mississippi:Lincoln,34810
US,Missouri,Lincoln,US:Missouri:Lincoln,53860
US,Montana,Lincoln,US:Montana:Lincoln,19460
US,Nebraska,Lincoln,US:Nebraska:Lincoln,36051
US,Nevada,Lincoln,US:Nevada:Lincoln,5245
US,New Mexico,Lincoln,US:New Mexico:Lincoln,20105
US,North Carolina,Lincoln,US:North Carolina:Lincoln,79740
US,Oklahoma,Lincoln,US:Oklahoma:Lincoln,34351
US,Oregon,Lincoln,US:Oregon:Lincoln,46350
US,South Dakota,Lincoln,US:South Dakota:Lincoln,49858
US,Tennessee,Lincoln,US:Tennessee:Lincoln,33633
US,Washington,Lincoln,US:Washington:Lincoln,10301
US,West Virginia,Lincoln,US:West Virginia:Lincoln,21559
US,Wisconsin,Lincoln,US:Wisconsin:Lincoln,28684
US,Wyoming,Lincoln,US:Wyoming:Lincoln,18364
US,Iowa,Linn,US:Iowa:Linn,216111
US,Kansas,Linn,US:Kansas:Linn,9516
US,Missouri,Linn,US:Missouri:Linn,12368
US,Oregon,Linn,US:Oregon:Linn,118765
US,Texas,Lipscomb,US:Texas:Lipscomb,3485
US,Connecticut,Litchfield,US:Connecticut:Litchfield,186924
US,Arkansas,Little River,US:Arkansas:Little River,12730
US,Texas,Live Oak,US:Texas:Live Oak,11867
US,Illinois,Livingston,US:Illinois:Livingston,38186
US,Kentucky,Livingston,US:Kentucky:Livingston,9359
US,Louisiana,Livingston,US:Louisiana:Livingston,134053
US,Michigan,Livingston,US:Michigan:Livingston,184443
US,Missouri,Livingston,US:Missouri:Livingston,14871
US,New York,Livingston,US:New York:Livingston,64705
US,Texas,Llano,US:Texas:Llano,19444
US,Arkansas,Logan,US:Arkansas:Logan,22082
US,Colorado,Logan,US:Colorado:Logan,22450
US,Illinois,Logan,US:Illinois:Logan,29964
US,Kansas,Logan,US:Kansas:Logan,2798
US,Kentucky,Logan,US:Kentucky:Logan,26876
US,Nebraska,Logan,US:Nebraska:Logan,763
US,North Dakota,Logan,US:North Dakota:Logan,1946
US,Ohio,Logan,US:Ohio:Logan,45481
US,Oklahoma,Logan,US:Oklahoma:Logan,44422
US,West Virginia,Logan,US:West Virginia:Logan,35987
US,Puerto Rico,Loíza Municipality,US:Puerto Rico:Loíza Municipality,30060
US,Georgia,Long,US:Georgia:Long,16624
US,Arkansas,Lonoke,US:Arkansas:Lonoke,70753
US,Ohio,Lorain,US:Ohio:Lorain,302827
US,New Mexico,Los Alamos,US:New Mexico:Los Alamos,17798
US,California,Los Angeles,US:California:Los Angeles,10017068
US,Tennessee,Loudon,US:Tennessee:Loudon,50448
US,Virginia,Loudoun,US:Virginia:Loudoun,349679
US,Iowa,Louisa,US:Iowa:Louisa,11282
US,Virginia,Louisa,US:Virginia:Louisa,33945
US,Nebraska,Loup,US:Nebraska:Loup,576
US,Oklahoma,Love,US:Oklahoma:Love,9742
US,Texas,Loving,US:Texas:Loving,95
US,Alabama,Lowndes,US:Alabama:Lowndes,10703
US,Georgia,Lowndes,US:Georgia:Lowndes,112916
US,Mississippi,Lowndes,US:Mississippi:Lowndes,59922
US,Texas,Lubbock,US:Texas:Lubbock,289324
US,Iowa,Lucas,US:Iowa:Lucas,8746
US,Ohio,Lucas,US:Ohio:Lucas,436393
US,Michigan,Luce,US:Michigan:Luce,6502
US,Georgia,Lumpkin,US:Georgia:Lumpkin,30918
US,New Mexico,Luna,US:New Mexico:Luna,24659
US,Virginia,Lunenburg,US:Virginia:Lunenburg,12527
US,Puerto Rico,Luquillo Municipality,US:Puerto Rico:Luquillo Municipality,20068
US,Pennsylvania,Luzerne,US:Pennsylvania:Luzerne,320103
US,Pennsylvania,Lycoming,US:Pennsylvania:Lycoming,116754
US,South Dakota,Lyman,US:South Dakota:Lyman,3892
US,Virginia,"Lynchburg, City of","US:Virginia:Lynchburg, City of",78014
US,Texas,Lynn,US:Texas:Lynn,5723
US,Iowa,Lyon,US:Iowa:Lyon,11712
US,Kansas,Lyon,US:Kansas:Lyon,33510
US,Kentucky,Lyon,US:Kentucky:Lyon,8451
US,Minnesota,Lyon,US:Minnesota:Lyon,25487
US,Nevada,Lyon,US:Nevada:Lyon,51557
US,Michigan,Mackinac,US:Michigan:Mackinac,11061
US,Michigan,Macomb,US:Michigan:Macomb,854769
US,Alabama,Macon,US:Alabama:Macon,19688
US,Georgia,Macon,US:Georgia:Macon,14009
US,Illinois,Macon,US:Illinois:Macon,109278
US,Missouri,Macon,US:Missouri:Macon,15544
US,North Carolina,Macon,US:North Carolina:Macon,33857
US,Tennessee,Macon,US:Tennessee:Macon,22701
US,Illinois,Macoupin,US:Illinois:Macoupin,46880
US,California,Madera,US:California:Madera,152389
US,Alabama,Madison,US:Alabama:Madison,346892
US,Arkansas,Madison,US:Arkansas:Madison,15701
US,Florida,Madison,US:Florida:Madison,18728
US,Georgia,Madison,US:Georgia:Madison,28057
US,Idaho,Madison,US:Idaho:Madison,37450
US,Illinois,Madison,US:Illinois:Madison,267225
US,Indiana,Madison,US:Indiana:Madison,130482
US,Iowa,Madison,US:Iowa:Madison,15448
US,Kentucky,Madison,US:Kentucky:Madison,85590
US,Louisiana,Madison,US:Louisiana:Madison,11927
US,Mississippi,Madison,US:Mississippi:Madison,100412
US,Missouri,Madison,US:Missouri:Madison,12431
US,Montana,Madison,US:Montana:Madison,7712
US,Nebraska,Madison,US:Nebraska:Madison,35278
US,New York,Madison,US:New York:Madison,72382
US,North Carolina,Madison,US:North Carolina:Madison,21022
US,Ohio,Madison,US:Ohio:Madison,43277
US,Tennessee,Madison,US:Tennessee:Madison,98733
US,Texas,Madison,US:Texas:Madison,13781
US,Virginia,Madison,US:Virginia:Madison,13200
US,Kentucky,Magoffin,US:Kentucky:Magoffin,12950
US,Iowa,Mahaska,US:Iowa:Mahaska,22417
US,Minnesota,Mahnomen,US:Minnesota:Mahnomen,5532
US,Ohio,Mahoning,US:Ohio:Mahoning,233869
US,Oklahoma,Major,US:Oklahoma:Major,7683
US,Oregon,Malheur,US:Oregon:Malheur,30479
US,Virginia,"Manassas Park, City of","US:Virginia:Manassas Park, City of",16149
US,Virginia,"Manassas, City of","US:Virginia:Manassas, City of",41705
US,Florida,Manatee,US:Florida:Manatee,342106
US,Puerto Rico,Manatí Municipality,US:Puerto Rico:Manatí Municipality,44113
US,Michigan,Manistee,US:Michigan:Manistee,24450
